,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
399,kieta,80.0,PG,1547353187.0,89.0,-6.22,155.63,84.51,3.76
400,falmouth,92.0,GB,1547347800.0,100.0,50.16,-5.07,48.2,11.41
401,yumen,24.0,CN,1547353187.0,70.0,40.29,97.04,5.49,10.25
402,xinqing,76.0,CN,1547353188.0,74.0,48.28,129.53,7.2,3.2
403,pisco,0.0,PE,1547352000.0,88.0,-13.71,-76.2,71.6,10.29
404,husavik,80.0,CA,1547353189.0,93.0,50.56,-96.99,18.63,10.65
405,pangnirtung,8.0,CA,1547353189.0,58.0,66.15,-65.72,-32.86,3.04
406,armidale,0.0,AU,1547353189.0,59.0,-30.51,151.67,81.09,8.3
407,nabire,48.0,ID,1547353190.0,92.0,-3.36,135.5,77.4,2.59
408,denia,0.0,ES,1547353190.0,100.0,38.84,0.11,50.49,9.24
409,sirohi,8.0,IN,1547353190.0,82.0,24.89,72.86,51.21,3.87
410,leeuwarden,75.0,NL,1547352060.0,100.0,53.2,5.79,46.4,17.22
411,santiago,0.0,CL,1547352000.0,63.0,-33.44,-70.65,62.6,9.17
412,binzhou,0.0,CN,1547353192.0,54.0,37.38,117.96,41.85,7.07
413,plainfield,90.0,US,1547352000.0,95.0,39.7,-86.4,32.0,11.41
414,ferrol,0.0,ES,1547350200.0,76.0,43.48,-8.23,48.2,4.7
415,dawson,90.0,US,1547351700.0,92.0,39.85,-89.46,31.1,13.87
416,yulara,0.0,AU,1547348400.0,8.0,-25.24,130.99,109.4,13.87
417,zyryanka,8.0,RU,1547353193.0,0.0,65.73,150.89,-37.99,2.82
418,samarai,24.0,PG,1547353194.0,100.0,-10.62,150.67,82.71,14.05
419,kudahuvadhoo,88.0,MV,1547353194.0,100.0,2.67,72.89,81.99,11.25
420,makakilo city,75.0,US,1547351820.0,71.0,21.35,-158.09,78.08,6.93
421,omboue,92.0,GA,1547353194.0,100.0,-1.57,9.26,75.24,8.86
422,never,56.0,RU,1547353195.0,71.0,53.98,124.16,-6.85,3.53
423,zhanaozen,92.0,KZ,1547353195.0,88.0,43.35,52.85,34.47,6.89
424,keelung,75.0,TW,1547352000.0,77.0,25.13,121.74,69.8,12.75
425,mumford,24.0,GH,1547353196.0,92.0,5.26,-0.76,77.58,4.54
426,mandera,0.0,ET,1547353196.0,67.0,3.94,41.86,64.26,5.39
427,nitchidorf,75.0,RO,1547352000.0,92.0,45.58,21.53,32.0,2.24
428,prado,48.0,BR,1547353197.0,91.0,-17.34,-39.22,81.0,11.1
429,nola,8.0,CF,1547353197.0,93.0,3.52,16.05,71.19,2.48
430,uyuni,8.0,BO,1547353198.0,90.0,-20.46,-66.82,39.51,3.31
431,cayenne,20.0,GF,1547352000.0,88.0,4.94,-52.33,73.4,7.56
432,freeport,92.0,BS,1547353199.0,99.0,26.54,-78.7,75.78,9.91
